comfort_food,comfort_food_reasons,comfort_food_category
burgers indian and korean food,sadness happiness and hunger,other
chocolate bar ice cream pretzels potato chips and protein bars,stress boredom and physical activity,other
ice cream chocolate pizza cucumber,loneliness homework boredom,other
noodle  any kinds of noodle tuna sandwich and egg,when im  eating with my close friends food smell or look good when i feel tired,other
chinese chips cake,stress and boredom,other
chips rice chicken curry,happiness boredom social event,other
wine mac and cheese pizza ice cream,boredom and sadness,other
pizza  wings  cheesecake,loneliness  homesick  sadness,other
rice potato seaweed soup,sadness,other
mac n cheese lasagna pizza,happiness they are some of my favorite foods,other
chocolates pizza and ritz,hormones premenstrual syndrome,other
